date,air_temp_C,pressure_kPa,wind_speed_m_s,moon_phase,summer_factor,estimated_water_temp_C
2024-10-06,11.53,101.07,7.46,Waning,0.0,10.36
2024-10-07,11.02,100.99,2.82,Waning,0.0,10.42
2024-10-08,12.13,100.96,7.18,Waning,0.0,10.87
2024-10-09,11.96,99.5,11.11,New Moon,0.0,10.33
2024-10-10,12.81,98.77,10.66,First Quarter,0.0,11.04
2024-10-11,8.93,99.63,6.5,First Quarter,0.0,8.37
2024-10-12,9.47,101.33,6.27,First Quarter,0.0,8.84
2024-10-13,10.78,100.99,6.72,First Quarter,0.0,9.84
2024-10-14,10.06,100.84,3.02,First Quarter,0.0,9.63
2024-10-15,8.28,101.79,8.14,First Quarter,0.0,7.7
2024-10-16,9.03,102.66,7.3,Full Moon,0.0,8.77
2024-10-17,10.77,102.39,9.28,Full Moon,0.0,9.96
2024-10-18,11.13,102.04,8.41,Full Moon,0.0,10.33
2024-10-19,11.24,102.22,8.46,Full Moon,0.0,10.42
2024-10-20,11.07,101.97,9.61,Full Moon,0.0,10.16
2024-10-21,11.56,101.03,10.82,Full Moon,0.0,10.43
2024-10-22,10.4,101.29,8.14,Full Moon,0.0,9.77
2024-10-23,10.03,101.56,9.51,Last Quarter,0.0,8.96
2024-10-24,10.38,102.12,7.02,Last Quarter,0.0,9.5
2024-10-25,9.42,101.87,7.67,Last Quarter,0.0,8.66
2024-10-26,8.27,101.82,2.5,Last Quarter,0.0,8.26
2024-10-27,10.21,101.1,9.26,Last Quarter,0.0,9.13
2024-10-28,8.39,101.12,7.52,Last Quarter,0.0,7.85
2024-10-29,7.36,101.51,6.79,Last Quarter,0.0,7.1
2024-10-30,8.51,100.71,9.47,Last Quarter,0.0,7.74
2024-10-31,7.5,100.42,5.83,Waning,0.0,7.3
2024-11-01,7.73,99.15,12.76,Waning,0.0,6.77
2024-11-02,5.15,101.63,13.44,Waning,0.0,4.67
2024-11-03,6.16,101.19,11.55,Waning,0.0,5.66
2024-11-04,5.91,102.41,7.36,Waning,0.0,5.89
2024-11-05,6.78,102.02,7.19,Waning,0.0,6.6
2024-11-06,5.83,102.31,5.91,Waning,0.0,5.97
2024-11-07,6.45,102.84,6.03,New Moon,0.0,6.46
2024-11-08,6.22,103.18,6.34,New Moon,0.0,6.25
2024-11-09,5.25,103.16,3.39,First Quarter,0.0,5.77
2024-11-10,5.02,102.99,3.2,First Quarter,0.0,5.6
2024-11-11,6.06,102.47,4.92,First Quarter,0.0,6.26
2024-11-12,4.72,102.83,5.38,First Quarter,0.0,5.14
2024-11-13,5.44,101.97,7.17,First Quarter,0.0,5.53
2024-11-14,5.61,101.11,8.3,First Quarter,0.0,5.54
2024-11-15,5.89,100.46,7.42,Full Moon,0.0,6.22
2024-11-16,7.49,99.0,11.48,Full Moon,0.0,7.08
2024-11-17,5.3,98.08,10.85,Full Moon,0.0,5.39
2024-11-18,3.55,98.73,7.07,Full Moon,0.0,4.37
2024-11-19,2.24,99.47,3.87,Full Moon,0.0,3.65
2024-11-20,1.99,98.15,13.34,Full Moon,0.0,2.49
2024-11-21,0.64,97.36,11.57,Full Moon,0.0,1.58
2024-11-22,-1.97,98.41,9.39,Last Quarter,0.0,-0.66
2024-11-23,-0.31,99.82,7.74,Last Quarter,0.0,0.85
2024-11-24,2.69,100.72,9.05,Last Quarter,0.0,3.13
2024-11-25,6.78,99.62,11.98,Last Quarter,0.0,6.1
2024-11-26,6.18,100.23,8.57,Last Quarter,0.0,5.96
2024-11-27,4.79,101.06,4.61,Last Quarter,0.0,5.26
2024-11-28,4.02,101.76,5.59,Last Quarter,0.0,4.55
2024-11-29,1.61,102.27,6.73,Waning,0.0,2.51
